interview_uid,date,site,circuit,effort_hours,catch_count,n_counted,n_interviewed,trip_status
1,2016-06-06,North,circuit1,3.0,2,8,4,complete
2,2016-06-06,North,circuit1,2.0,0,8,4,complete
3,2016-06-06,South,circuit1,4.0,1,6,3,complete
4,2016-06-07,North,circuit1,1.5,3,5,3,complete
5,2016-06-07,South,circuit1,2.5,0,6,3,incomplete
6,2016-06-08,North,circuit1,3.5,2,7,4,complete
7,2016-06-08,Pier,circuit1,1.0,1,4,2,complete
8,2016-06-08,South,circuit1,2.0,0,5,3,complete
9,2016-06-11,North,circuit1,4.0,4,9,5,complete
10,2016-06-11,Pier,circuit1,1.5,0,3,2,complete
11,2016-06-12,South,circuit1,3.0,2,7,4,complete
12,2016-06-12,Pier,circuit1,2.5,1,4,3,complete
1,2016-06-06,North,circuit1,3.0,2,8,4,complete
2,2016-06-06,North,circuit1,2.0,0,8,4,complete
3,2016-06-06,South,circuit1,4.0,1,6,3,complete
4,2016-06-07,North,circuit1,1.5,3,5,3,complete
5,2016-06-07,South,circuit1,2.5,0,6,3,incomplete
6,2016-06-08,North,circuit1,3.5,2,7,4,complete
7,2016-06-08,Pier,circuit1,1.0,1,4,2,complete
8,2016-06-08,South,circuit1,2.0,0,5,3,complete
9,2016-06-11,North,circuit1,4.0,4,9,5,complete
10,2016-06-11,Pier,circuit1,1.5,0,3,2,complete
11,2016-06-12,South,circuit1,3.0,2,7,4,complete
12,2016-06-12,Pier,circuit1,2.5,1,4,3,complete
